,Publication
0,"Bennett WM, Feldman HI, Sayegh MH. 2008. ""Introduction: Nephrology Hall of Fame for CJASN."" , Clinical journal of the American Society of Nephrology : CJASN"
1,"Lee KM, Forman JP, McNerney ME, Stepp S, Kuppireddi S, Guzior D, Latchman YE, Sayegh MH, Yagita H, Park CK, Oh SB, Wülfing C, Schatzle J, Mathew PA, Sharpe AH, Kumar V. 2006. ""Requirement of homotypic NK-cell interactions through 2B4(CD244)/CD48 in the generation of NK effector functions."" , Blood, vol.107, no.8, pp-3181-8"
2,"Ruiz-Perez B, Chung DR, Sharpe AH, Yagita H, Kalka-Moll WM, Sayegh MH, Kasper DL, Tzianabos AO. 2005. ""Modulation of surgical fibrosis by microbial zwitterionic polysaccharides."" , Proceedings of the National Academy of Sciences of the United States of America, vol.102, no.46, pp-16753-8"
3,"Clarkson MR, Sayegh MH. 2005. ""T-cell costimulatory pathways in allograft rejection and tolerance."" , Transplantation, vol.80, no.5, pp-555-63"
4,"Sho M, Kishimoto K, Harada H, Livak M, Sanchez-Fueyo A, Yamada A, Zheng XX, Strom TB, Basadonna GP, Sayegh MH, Rothstein DM. 2005. ""Requirements for induction and maintenance of peripheral tolerance in stringent allograft models."" , Proceedings of the National Academy of Sciences of the United States of America, vol.102, no.37, pp-13230-5"
5,"Methe H, Nugent HM, Groothuis A, Seifert P, Sayegh MH, Edelman ER. 2005. ""Matrix embedding alters the immune response against endothelial cells in vitro and in vivo."" , Circulation, vol.112, no.9 Suppl, pp-I89-95"
6,"Guleria I, Khosroshahi A, Ansari MJ, Habicht A, Azuma M, Yagita H, Noelle RJ, Coyle A, Mellor AL, Khoury SJ, Sayegh MH. 2005. ""A critical role for the programmed death ligand 1 in fetomaternal tolerance."" , The Journal of experimental medicine, vol.202, no.2, pp-231-7"
7,"Shoji T, Wain JC, Houser SL, Benjamin LC, Johnston DR, Hoerbelt R, Hasse RS, Lee RS, Muniappan A, Guenther DA, Bravard MA, Ledgerwood LG, Sachs DH, Sayegh MH, Madsen JC, Allan JS. 2005. ""Indirect recognition of MHC class I allopeptides accelerates lung allograft rejection in miniature swine."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.5, no.7, pp-1626-34"
8,"Ito T, Ueno T, Clarkson MR, Yuan X, Jurewicz MM, Yagita H, Azuma M, Sharpe AH, Auchincloss H, Sayegh MH, Najafian N. 2005. ""Analysis of the role of negative T cell costimulatory pathways in CD4 and CD8 T cell-mediated alloimmune responses in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.174, no.11, pp-6648-56"
9,"Frank NY, Margaryan A, Huang Y, Schatton T, Waaga-Gasser AM, Gasser M, Sayegh MH, Sadee W, Frank MH. 2005. ""ABCB5-mediated doxorubicin transport and chemoresistance in human malignant melanoma."" , Cancer research, vol.65, no.10, pp-4320-33"
10,"Kashizuka H, Sho M, Nomi T, Ikeda N, Kuzumoto Y, Akashi S, Tsurui Y, Mizuno T, Kanehiro H, Yagita H, Nakajima Y, Sayegh MH. 2005. ""Role of the ICOS-B7h costimulatory pathway in the pathophysiology of chronic allograft rejection."" , Transplantation, vol.79, no.9, pp-1045-50"
11,"Schenk S, Kish DD, He C, El-Sawy T, Chiffoleau E, Chen C, Chen C, Wu Z, Sandner S, Gorbachev AV, Fukamachi K, Heeger PS, Sayegh MH, Turka LA, Fairchild RL. 2005. ""Alloreactive T cell responses and acute rejection of single class II MHC-disparate heart allografts are under strict regulation by CD4+ CD25+ T cells."" , Journal of immunology (Baltimore, Md. : 1950), vol.174, no.6, pp-3741-8"
12,"Sandner SE, Clarkson MR, Salama AD, Sanchez-Fueyo A, Domenig C, Habicht A, Najafian N, Yagita H, Azuma M, Turka LA, Sayegh MH. 2005. ""Role of the programmed death-1 pathway in regulation of alloimmune responses in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.174, no.6, pp-3408-15"
13,"Yamada A, Salama AD, Sho M, Najafian N, Ito T, Forman JP, Kewalramani R, Sandner S, Harada H, Clarkson MR, Mandelbrot DA, Sharpe AH, Oshima H, Yagita H, Chalasani G, Lakkis FG, Auchincloss H, Sayegh MH. 2005. ""CD70 signaling is critical for CD28-independent CD8+ T cell-mediated alloimmune responses in vivo."" , Journal of immunology (Baltimore, Md. : 1950), vol.174, no.3, pp-1357-64"
14,"Kutok JL, Yang X, Folkerth RD, Imitola J, Raddassi K, Yano Y, Salahuddin S, Lawitts J, Imboden H, Chinami M, Shirakawa T, Turner H, Khoury S, Sayegh MH, Scadden D, Adra C. 2005. ""The cell cycle associated protein, HTm4, is expressed in differentiating cells of the hematopoietic and central nervous system in mice."" , Journal of molecular histology, vol.36, no.1-2, pp-77-87"
15,"Tinckam KJ, Sayegh MH. 2005. ""Transplantation tolerance in pediatric recipients: lessons and challenges."" , Pediatric transplantation, vol.9, no.1, pp-17-27"
16,"Sandner SE, Clarkson MR, Salama AD, Sanchez-Fueyo A, Yagita H, Turka LA, Sayegh MH. 2005. ""Mechanisms of tolerance induced by donor-specific transfusion and ICOS-B7h blockade in a model of CD4+ T-cell-mediated allograft rejection."" , American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons, vol.5, no.1, pp-31-9"
17,"Sayegh MH, Perico N, Remuzzi G. 2005. ""Transplantation tolerance. A complex scenario awaiting clinical applicability."" , Contributions to nephrology, vol.146, pp-95-104"
18,"Sayegh MH, Carpenter CB. 2004. ""Transplantation 50 years later--progress, challenges, and promises."" , The New England journal of medicine, vol.351, no.26, pp-2761-6"
19,"Perico N, Cattaneo D, Sayegh MH, Remuzzi G. 2004. ""Delayed graft function in kidney transplantation."" , Lancet, vol.364, no.9447, pp-1814-27"
20,"Denton MD, Magee C, Melter M, Dharnidharka VR, Sayegh MH, Briscoe DM. 2004. ""TNP-470, an angiogenesis inhibitor, attenuates the development of allograft vasculopathy."" , Transplantation, vol.78, no.8, pp-1218-21"
21,"Kishimoto K, Yuan X, Auchincloss H, Sharpe AH, Mandelbrot DA, Sayegh MH. 2004. ""Mechanism of action of donor-specific transfusion in inducing tolerance: role of donor MHC molecules, donor co-stimulatory molecules, and indirect antigen presentation."" , Journal of the American Society of Nephrology : JASN, vol.15, no.9, pp-2423-8"
22,"Magee CC, Denton MD, Womer KL, Khoury SJ, Sayegh MH. 2004. ""Assessment by flow cytometry of intracellular cytokine production in the peripheral blood cells of renal transplant recipients."" , Clinical transplantation, vol.18, no.4, pp-395-401"
23,"Poggio ED, Clemente M, Riley J, Roddy M, Greenspan NS, Dejelo C, Najafian N, Sayegh MH, Hricik DE, Heeger PS. 2004. ""Alloreactivity in renal transplant recipients with and without chronic allograft nephropathy."" , Journal of the American Society of Nephrology : JASN, vol.15, no.7, pp-1952-60"
24,"Vu MD, Amanullah F, Li Y, Demirci G, Sayegh MH, Li XC. 2004. ""Different costimulatory and growth factor requirements for CD4+ and CD8+ T cell-mediated rejection."" , Journal of immunology (Baltimore, Md. : 1950), vol.173, no.1, pp-214-21"
25,"Imitola J, Comabella M, Chandraker AK, Dangond F, Sayegh MH, Snyder EY, Khoury SJ. 2004. ""Neural stem/progenitor cells express costimulatory molecules that are differentially regulated by inflammatory and apoptotic stimuli."" , The American journal of pathology, vol.164, no.5, pp-1615-25"
26,"Khoury SJ, Sayegh MH. 2004. ""The roles of the new negative T cell costimulatory pathways in regulating autoimmunity."" , Immunity, vol.20, no.5, pp-529-38"
27,"Sayegh MH, Platt JL. 2004. ""Overview: future approaches to renal replacement and regeneration."" , Journal of the American Society of Nephrology : JASN, vol.15, no.5, pp-1105"
